week|Number|Date|Topcis|Readings|||||
1|1|1/23/2023|"Overview, python introduction"|"TP Ch 1,2, CP Ch 1,1-1.2"|,,,,
|2|1/25/2023|"Integer division, booleans"|,,,,,
2|3|1/30/2023|Conditional statement|"TP Ch 4.1| 4.8, CP Ch1.5"|,,,,
,4|2/1/2023|||||||
3|5|2/6/2023|Programmer-defined functions,"TP Ch 3, 6, CP Ch 1.3, 1.4"|||||
|6|2/8/2023|Procedures and iteration|"TP Ch 5, 6, CP Ch 1.5.5"|||||
4,7|2/13/2023|While loop||||||
|8|2/15/2023|||||||
5|9|2/20/2023|Lists||||||
|10|2/22/2023|More lists||||||
6|11|2/27/2023|Dictionaries||||||
|12|3/1/2023|Recursion||||||
7|13|3/6/2023|More recursion||||||
|14|3/8/2023|Objects and classes||||||
8|15|3/20/2023|Inheritance||||||
|16|3/22/2023|||||||
9|17|3/27/2023|Nested def and lambda||||||
|18|3/29/2023|Environments||||||
10|19|4/3/2023|Linked lists||||||
|20|4/5/2023|||||||
11|21|4/10/2023|Search trees||||||
|22|4/12/2023|||||||
12|23|4/17/2023|Introduction to efficiency||||||
|24|4/19/2023|||||||
13|25|4/24/2023|Sorting||||||
|26|4/26/2023|||||||
